메뉴 이름,메뉴 설명,재료,조리 과정
부추간장양념장 ,밥에 비벼먹는 부추간장양념장 만드는 법,부추 1/3단 간장 1C 대파 1/7대 다진마늘 1T 청양고추 1개 고춧가루 1T 참기름 1T 통깨 조금,"1. 먼저 부추1/3단을 깨끗이 씻어서 잘게 썰어준다. <br>2. 그릇에 부추를 담고 다진마늘1T,잘게썬 대파1T,잘게 썬 청양고추1T를 넣어준다.<br>3. 부추간장양념장은 간장이 조금 모자라나 싶을 정도만 넣어준다. <br>4. 고춧가루1T,참기름1T,통깨를 넣고 마무리한다. 부추간장양념장 완성입니다."
부추피클,생각보다 괘 유용한 반찬입니다,부추 1단 물 3컵 간장 2컵 식초 2컵 설탕 1컵,1. 다듬은 부추를 3번이상 씻어 바구니에 담아 뒤집어주며 물기를 말려 주셔요.<br>2. 준비된 간장 재료를 섞어 같이 펄펄 10분 꿓여 식혀 주세요.<br>3. 부추를 용기에 다고 무거운 돌을 올리거나 짱아치용 그릇에 담거나 하고 간장을 부어 주셔요.<br>4. 한나절후 한번 뒤집어 주고 실온에서 하루가 지나면 먹을수 있고 시간이 오래된 짱아치는 감칠맛이 좋아 더욱 밥도둑이 됩니다.<br>5. 이 삼일후 한번 더 꿓여 냉장고에 넣어 주셔요
김치만두,"오늘은 고기, 두부, 해물을 넣지 않고 오로지 김치만을 주재료로한 만두","만두피 1팩, 배추김치 172g, 부추 49g, 당면 69g, 계란 2개 
[양념류] 고춧가루 1T, 진간장 1T, 설탕 1t, 참기름 1t, 후추 약간",1. 부추를 세척 후 쫑쫑 잘게 다져주세요. 볼에 김치와 다진 부추를 넣고 가위로 잘게 잘라주세요.<br>2. 김치의 물기를 꼭 짜주면 더 좋아요.<br>3. 냄비에 물을 받아 강불을 켠 후 물이 끓으면 당면을 투하해요. 당면은 사용 전에 미리 찬물에 불려두는 것이 좋아요.<br>4. 계란 1개를 만두소에 투하해요. 계란 2개 중 1개만 온전히 넣으세요. 계란 남은 1개는 흰자를 제외하고 노른자만 만두소에 넣어주세요. <br>5. 흰자를 풀어주세요. 흰자는 만두피 붙이는 용도로 사용합니다.<br>6. 미리 준비한 양념을 만두소에 투하해요. 고춧가루도 만두소에 투하해요. 만두소에 넣은 양념을 잘 섞어주세요. <br>7. 당면이 익었나 확인해요. 당면이 익었으면 체어 건져 찬물에 헹군 후 물기를 제거해요. 물기를 완전히 제거하는 것이 좋아요.<br>8. 당면을 잘게 다져주세요. 다진 당면을 만두소에 투하해 섞으면 만두소 완성. 원하는 모양으로 만두를 빚으면 만두 완성.
부추달걀볶음,반찬 없을때 간단하게 해 먹을수 있는 부추 달걀 볶음입니다. 따로 반찬으로도 좋지만 밥위에 올려 덮밥을 만들어 봤습니다,"부추 1줌, 달걀 4개, 식용유 2큰술, 밥 2공기 <br>[양념] 굴소스 1큰술, 참기름 1큰술",1. 부추는 적당한 크기로 썰고 달걀은 여러번 저어서 곱게 풀어 놓습니다.<br>2. 팬에 식용유를 두르고 뜨거워지면 달걀을 붓고 젓가락으로 저으면서 익혀주세요.<br>3. 부추와 굴소스를 넣고 볶아주세요.<br>4. 달걀과 섞은후 불을 끄고 참기름을 넣고 저어준후 그릇에 밥 한공기를 담고 그위에 부추 달걀 볶음을 담아주세요.
묵은지붕어찜,,"붕어 무  시래기(없으면묵은지)  양파  대파   매운고추  버섯(표고나팽이)     [양념장] 고추장3, 고춧가루3, 된장1, 조선간장3, 맛술3, 매실청2, 다진생강1.5, 다진마늘1.5","1. 무를 두툼하게 썰어서 냄비 바닥에 깔아 주시고 묵은지는 깨끗이 씻어서 무 위에 얹어주시고 그 위에 양파 반개를 썰어서 올려 주세요.<br>2. 
양념장 만들기는 밥숟가락기준 를 넣고 골고루 섞어주세요. 얼큰한걸 좋아라 하는 저는 고춧가루도 매운녀석으로 청량초도 넉넉하게 
붕어가 42cm짜리 랍니다. 냄비가 작은녀석이 아닌데 붕어가 워낙커서 꼬리는 잘라 버리고 머리도 뚝 잘라줬어요. 붕어를 손질할때는 아가미에 있는 녀석들을 모두 제거해줘야지 흑냄새가 전혀 안난다고 합니다. 요곤 조금 작은 녀석이라 꼬리만 잘라서 넣었어요. 붕어에 칼집을 골고루 넣어줘야 양념이 골고루 베이고 잘 익어요. 붕어위에 대파 고추를 넣고 그위에 준비된 양념장을 골고루 얹어 주세요. 
이틀전에 바닷가에서 얻어온 생새우도 휘리릭 소금간이 전혀 안된 녀석이라 넉넉하게 넣어 줬지요. 민물 새우가 있으면 그 녀석으로 넣어주면 완전 굿뜨 인데 민물 새우가 없으니 요딴 생새우로 넣어보자구욤. 
쎈불에서 보글보글 끓기 시작하면 약한 불에서 뭉근하게 익혀 주자구요. 어지닌 1시간 가량을 푸욱 익혀 줬어요. 붕어는 푹 익혀 줄수록 좋다고 해서 압력솥에다가 졸이는 사람들도 많다고 합니다. 살이 어찌나 찰지고 탱글한지 참붕어 참붕어들 하시는데 요딴 떡붕어도 맛있더라니깐 떡붕어가 워낙 커서 그랬나? 붕어도 붕어지만 요 뭉근하게 익어준 묵은지가 참 맛있었어요. "
애플파이 ,식빵으로 애플파이 만들기 NO오븐,식빵 4개 사과 1/2쪽 설탕 2T 꿀 1T 계피가루 조금,1. 사과반쪽을 깍뚝썰듯이 잘게 썰어주세요. <br>2. 팬에 설탕 2T넣고 약불에 졸여주세요. <br>3. 사과색깔이 누렇게 변하면 계피가루 넣어주세요. <br>4. 꿀한스푼 넣고 골고루 썩은뒤 그릇에 담아주세요. <br>5. 식빵 4개는 테두리를 잘라내고 밀대로 밀어 납작하게 해주세요 둥근거아무거나 사용하세요. <br>6. 밀어둔 식빵위에 조림해둔 사과를 올려주세요. 너무 많이 올리면 터져요. <br>7. 식빵테두리를 포크로 눌러 붙여주시고 지저분한 식빵끝부분은 칼로 정리해주세요 식빵이 서로 붙지 않을경우 계란한개와 물조금 섞어서 테두리쪽을 발라서 해주시면 잘붙어요. <br>8. 팬에 버터한스푼을 녹여서 약불에서 구워주세요. <br>9. 더맛있게 먹을려면 사용하다 남은 계란을 식빵앞뒤로 솔로 이용해 발라서 구워먹음 맛있어요 이렇게 노릇하게 구워내면 완성입니다.
사과 무생채,,사과 1개 무 1/2개 식초 2스푼 고춧가루 2스푼 냉동다진마늘 1조각 소금 적당량 설탕 2스푼 참기름 2스푼,1. 사과와 무를 쫑쫑 썰어준다. <br>2. 양푼에 손질한 사과와 무를 넣고 소금을 적당량 뿌려준다. <br>3. 그 사이 양념재료 준비. 20분정도 지나면 소금물이 나오는데 소금물을 버려준다.<br>4. 장갑을 끼고 조물조물. 마지막엔 참기름 한 바퀴 삥 돌려주시고 참깨 톡톡. 달콤 새콤한 사과 무생채 완성
사과깍두기,겉은 매콤 속은 아삭하고 새콤하고 달큰한맛의 사과 깍두기,"사과 3개, 쪽파 20줄 <br>[양념] 고추가루 3T, 매실청 2T, 설탕 1/2T, 간장 1T, 멸치액젓 3T, 소금 1/2T, 다진마늘 1T",1. 양념을 먼저 만들어 개어놓으면 색이 더 붉으니 분량의 양념을 넣고 미리 만들어두세요. <br>2. 사과는 껍질채 잘 씻어줍니다.(베이킹소다랑 구연산으로 씻었어요)<br>3. 개어놓은 양념에 적당한 크기로 자른 사과와쪽파를 넣고 머무려주세요.<br>4. 실온에 반나절정도 둔후 냉장보관. <br>5. 자른 사과를 넣어주고 쪽파를 넣어줍니다. <br>6. 분량의 양념을 넣어 몇번 뒤집으며 버무려주니 색이 진하게 나옵니다.
사과잼,"명절 대표선물 사과는 흔하면서도 건강을 든든하게 해주는 과일이에요. 식이섬유, 칼륨, 비타민이 풍부해 국민과일로 불리울만 합니다. 너무 많이 남아 빛을 잃어가는 사과가 있다면 과감하게 졸여주세요.",사과 2개 설탕 1+1/2컵 레몬즙 1큰술 계피가루 약간,"1. 보관할 용기는 미리 세척한 뒤, 물과 함께 냄비에 넣고 팔팔 (끓은 뒤 5분 더)끓여서 소독해 주세요. 습기가 마르는 동안의 시간이 있으니 꼭 미리 준비 해주셔야 합니다. 물이 끓을 때 유리용기를 넣게 되면 깨질 위험이 있어요. <br>2. 분량의 재료를 준비해 주세요.<br>3. 사과는 껍질을 제거하기 때문에 흐르는 물에 간단히 씻어주세요. 껍질을 모두 벗긴 사과를 아주 작은 크기로 다져 주세요. 채칼을 이용해 채를 쳐 썰면 간편해요. <br>4. 썰어둔 사과가 갈변 하더라도 가열하면 색이 고르게 변하기 때문에 썰어서 보관하던 사과를 활용해도 좋아요. <br>5. 냄비에 사과와 설탕을 한꺼번에 넣고 중불로 끓여 주세요. 이 때 레몬즙을 1큰술 넣어주면 사과에서 즙이 금방 나오게 하기 때문에 금방 눌러 붙지 않아요.<br>6. 사과에서 수분이 나오고 끓기 시작하면 약불로 불을 낮추고 눌러 붙지 않도록 중간 중간 저어가며 약 30분 가량 수분이 거의 없어 찐득한 상태가 될 때 까지 졸여 주세요."
사과차 ,상큼하면서도 달달한 사과로 따뜻하게 차를 끓여드세요,사과 5개 베이킹소다 2~3큰술 식품건조기,1. 사과껍질에 베이킹소다를 뿌려서 1분뒤에 부드러운 수세미로 깨끗하게 씻어주세요.<br>2. 사과 중간크기로 5개를 물기를 키친타올로 제거해주세요.<br>3. 절반씩 잘라서 V자로 씨를 제거해주세요. 4등분해서 가운데 씨부분을 제거해도 돼요. <br>4. 0.2-0.3m로 슬라이드 해주세요. <br>5. 저는 식품건조기에서 고온으로 3시간 건조시켜 주었어요
산수유식빵,,강력분 1kg 탈지분유 30g 소프트T30g 개량제9g 이스트 15g 계란 3개 버터 60g 설탕 90g 소금 18g 물 510g 건 산수유 230g,"1. 건산수유는 물로 씻다가 식초+베이킹소다 를 이용하여 바락바락 주물러 씻고 물기를 뺀 후 럼레진을 섞은 물이나 그냥 물에 불려놓아요.<br>2. 이후 잘 불려진 산수유를 망에 걸러 수분을 빼 놓아요.<br>3. 강력분, 탈지분유, 소프트T, 개량제는 3차례 체쳐서 보울에 담아둬요.<br>4. 보울에 담은 가루류의 두군데를 움푹 파서 한쪽에는 설탕과 소금, 다른쪽에는 이스트를 넣어요.<br>5. 계란을 풀어넣고 물을 부어서 반죽을 해요.<br>6. 실온에 두어서 부드러워진 버터를 넣고 반죽을 해 줘요. <br>7. 한참을 치대고 치다가 준비해 둔 건산수유를 넣고 고루 반죽 해주면 반죽 끝. <br>8. 반죽을 예쁘게 둥글려 줘요 . 랩으로 반죽위를 덮고 이쑤시개로 몇군데 구멍을 뚫어줘요.<br>9. 끓는물을 그릇에 담아 오븐 아랫쪽에 두고 오븐을 발효모드로 한시간 동안 작동해요.<br>10. 두 배 이상 부풀어 발효가 된 반죽을 식빵 하나당 세덩어리씩 그러니까 아홉 덩어리로 나누어 둥굴려서, 붙여진 자리가 아래로 가도록 해서 랩으로 덮어줘요. <br>11. 이렇게 15분여 중간발효를 시켜줘요. 중간발효가 끝난 반죽엔 가스가 차는데, 손바닥으로 치고 눌러서 가스를 뺌과 동시에 납짝하게 눌러준 후, 밀대로 남자 손바닥 만 하게 펼쳐줘요.<br>12. 펼쳐진 반죽의 좌, 우를 접어 식빵틀 좁은면 크기에 맞춘 후, 위에서 부터 굴려 말아주고, 마지막 여민곳을 아래로 해서 식빵틀에 세덩어리씩 팬닝 해 줘요.<br> 13. 끓는물을 그릇에 담아 1차반죽때와 마찬가지로 오븐을 발효모드로 환경을 만들어 2차발효를 해요. 2차발효는 45분 정도가 적당하지만, 환경에 따라 다르므로 빵 모양과 크기를 봐 가면서 시간을 조절해 줘요 . <br>14. 오븐을 210°c 컨벡션 굽기모드로 전환하고 25분여 구워줘요.<br>15.구워진 식빵을 빵틀에서 분리해서 식힘망에 완전히 식힌 후 잘라줍니다"
산초물김치,"절인 배추에 마늘, 생강, 찹쌀풀, 갓, 쪽파, 무, 새우젓국 등의 김치 양념을 섞어 배춧속을 넣은 다음 산초나무 열매를 넣고 다시마 육수를 부어 담근 물김치.","배추, 마늘, 생강, 찹쌀풀, 갓, 쪽파, 무, 새우젓국, 산초나무 열매","1. 배추는 소금에 잠시 동안 절인 뒤 깨끗하게 씻어서 건져내 물기를 없앤다. <br>2. 콩물에 찹쌀가루를 풀고 끓여서 찹쌀풀을 만든다. <br>3. 무는 채를 썰어서 소금에 살짝 절였다가 물기를 빼고, 새우젓은 다져서 국물만 짜둔다. 갓과 쪽파는 알맞은 길이로 썰어놓고 생강과 마늘은 곱게 다진다. 산초는 잘 다듬어놓고 실고추는 잘게 썰어둔다. <br>4. 새우젓국에 찹쌀풀과 채썬 무, 갓, 쪽파, 다진 생강과 마늘을 골고루 섞어 배춧속을 넣고 항아리에 담아서 산초를 넣어 물을 혼합한 다시마 육수를 배추에 붓고 실고추를 띄워서 익혀 먹는다. <br>5. 산초는 기침, 위장장애, 복부냉증 등에 효과적인 약재로 쓰인다."
닭안심조림,대파 닭안심조림,"닭안심 5토막, 대파 1, 통마늘 3 <br>[양념 및 소스재료] 물 200ml, 간장 3큰술, 자일로스설탕 1큰술 반, 다진마늘 반큰술, 후추 톡톡, 맛술 2","1. 닭안심 도톰히 썰어 주고 대파1cm 정도 썰어줍니다. <br>2. 통마늘은 반으로 잘라주세요. <br>3. 궁중팬에 분량의 양념을 넣고 저어준 후 닭안심 투하 바글바글 끓여 주다가 대파,통마늘 넣고 중불에서 양념이 조려 지도록 끓여줍니다. <br>4. 짜작하게 조려지면 약불로 줄이고 다진마늘 반큰술 넣고 휘리릭 저어 조려 내시면 끝."
닭갈비,춘천 닭갈비 따라잡기,"[재료] 닭다리살 500g, 고구마 1개, 떡 1줌, 양배추, 깻잎, 당면  <br>[양념] 진간장 3T, 고추장 3T, 고춧가루 5T, 설탕 2T, 올리고당 2T, 다진마늘 2T, 카레가루 1T, 후춧가루, 소주 3T","1. 닭다리살을 우유or소주에 10분정도 재워 비린내를 제거해요. <br>2. 분량의 재료로 양념을 만들어 10분가량 숙성시켜주세요. <br>3. 재워둔 닭을 깨끗이 씻은 후 살만 발라내주세요.왼손으로 닭다리를 잡고 칼을 닭다리 중간뼈 가까이 넣어 슥슥 옆으로 밀면 살만 발라진답니다. <br>4. 당면과 떡은 물에 불리고(떡-찬물,당면-뜨거운물), 양배추/고구마/깻잎은 먹기좋은 크기로 잘라주세요.(고구마는 가급적 얇게) <br>5. 닭을 양념장에 버무린 후 냉장고에서 30분가량 숙성시켜주세요. <br>6. 궁중팬에 기름을 두른 후 손질한 부재료(당면제외)와 닭갈비를 넣고 물을 한컵부어 센 불에 볶은 뒤, 닭과 고구마가 어느정도 익으면 불린당면을 넣어주세요. <br>7. 불린당면을 넣고 2분정도만 더 볶아주면 완성."
닭강정,자꾸만 손이가는 달콤한 닭강정,"[재료] 닭가슴살 3쪽, 우유 1컵, 달걀 노른자 1개, 땅콩가루 약간 <br>[양념] 포도씨유 2큰술, 전분가루 6큰술, 다진마늘 1큰술, 소금 약간, 후춧가루 약간 <br>[소스] 고추장 1.5큰술, 케첩 3큰술, 꿀 4큰술, 간장 0.3큰술, 식초 1큰술, 물 1/2컵","1. 먼저 닭가슴살(3쪽)은 한입크기로 먹기좋게 썰어요. 양은 먹기좋게 썰어 손으로 약 2줌정도면 된답니다. <br>2. 우유(1컵)에 30분정도 담가 잡내를 없애고 우유를 따라낸 후 소금, 후춧가루(약간)로 밑간해요. <br>3. 달걀 노른자(1개)를 넣어 섞어줍니다. <br>4. 노른자가 고루 섞이면 전분가루(6)를 넣고 섞어 튀김옷을 입혀주세요. 닭가슴살에 전분가루가 골고루 묻혀져야해요. <br>5. 160℃ 기름에 하나씩 넣어 튀긴 후 온도를 180℃로 올려 한번 더 노릇하고 바삭하게 튀겨주세요. <br>6. 건져서 키친타올에 올려 기름을 빼줍니다. <br>7. 분량의 소스재료를 섞어서 소스를 만듭니다. 꿀 대신 물엿, 올리고당 가능합니다. <br>8. 달군팬에 포도씨유(2)를 두르고 다진마늘(1)을 볶다가 만들어 둔 양념장을 부어 센불에 2-3분간 끓여줍니다. 걸죽한 소스가 좋으면 약 2분간 더 끓여서 걸쭉한 농도로 맞춰주세요. <br>9. 튀긴 치킨을 넣고 버무린 후 접시에 담아 땅콩가루(약간)를 뿌려주면 됩니다."
닭곰탕 ,완전 구수한 닭곰탕 만들기 ,닭 1마리 양파  대파  후추 통마늘 청주 or 소주 월계수잎(생략가능)  다진마늘 1스푼 소금 ,1. 닭은 끓는물에 살짝만 데치는데요. 잡내를 없애기위해 청주나 소주 반컵과 월계수잎이 있어 같이 넣고 끓여주었어요. <br>2. 살짝만 데쳐주고 찬물로 깨끗히 씻고 눈에보이는 기름은 제거후 다시 깨끗한 냄비에 닭과 물을 넣고 양파.대파.통마늘.통후추or후추가루 넣어 끓여주세요.<br>3. 센불에서 30분정도 끓여주다가 닭을 건져 살를 발라줍니다.<br>4. 좀전에 끓인 육수에 떠있는 양파대파통마늘은 다 건져주시고 불순물이 혹시 떠다닌다면 그것도 떠서 버려주세요.<br>5. 잘 발라진 닭고기에 다진마늘 1스푼을 넣고 소금과 후추를 톡톡 넣어 잘 버무린 후 아까 끓였던 육수에 다시 퐁당 좀더 끓여주다가 송송썰은 대파 가득 넣어줍니다.
